objectType,title,category
F09,Fiscal Year Variants,exotic
F12,House Banks/Bank Accounts in Company Code,exotic
F211,Line Layout Variants - Document Display,exotic
F212,Line Layout Variants - Line Items,exotic
F213,Line Layout Variants - Clearing Transactions,exotic
F214,Line Layout Variants - Automatic Payment,exotic
F215,Line Layout Variants - Automatic Payments/Line Items,exotic
F216,Line Layout Variants for Payment Advice Items,exotic
F217,Line Layout Variants - External Documents,exotic
F218,Line Layout Variants - Invoice Parking,exotic
F219,Line Layout Variant for Overview when Posting Document,exotic
F21B,Totals Variants,exotic
F21C,Line structure variants - credit management,exotic
F21M,FI-CA: Line item line layout variants (open items),exotic
F21O,FI-CA: Clearing line layout variants (open items),exotic
F21P,FI-CA: Document overview line layout variants (display doc),exotic
F21R,Field Selection Lists,exotic
F21S,FI-CA: Posting totals line layout variants,exotic
F21V,Default Values for Line Layout/Totals variants,exotic
F21W,FI-CA: Repetition items line layout variants,exotic
F221,Credit Management Sort Variants,exotic
F222,Sort Variants - Payment Media/Correspondence,exotic
F223,Sort Variants - Payment Media/Line Items,exotic
F224,Sort Variants - Correspondence/Nodes,exotic
F225,Sort Variants - Correspondence/Internal Documents,exotic
F226,Sort Variants - Correspondence/Line Items,exotic
F227,Sort Variants for Line Item Display,exotic
F228,Line Layout,exotic
F22M,Line Layout: Line Item,exotic
F22N,Sort variants: Printing of dunning notice/dunning header,exotic
F22O,Line Layout,exotic
F22P,Line Layout,exotic
F22Q,Sort variants: Printing of dunning notice/dunning line item,exotic
F22S,Line Layout: Posting Totals,exotic
F22W,Line Layout,exotic
F30,Automatic Postings - Account Determination,exotic
F30B,Automatic Postings - Posting Keys,exotic
F30G,Automatic Postings - Business Area Breakdown,exotic
F30K,Automatic Tax Postings - Account Determination,exotic
F30R,Automatic Postings: Rules,exotic
F30S,Automat. Postings Exchange Rate Diff. - Account Determin.,exotic
F30U,Automatic Postings - Bal.Sheet Prep./Bus.Area Breakdown,exotic
F33F,Account Determination (Posting Interface),exotic
F41A,Clearing Transactions,exotic
F42,Payment Program: Company Codes,exotic
F42A,Payment Program: Bank Selection (ranking),exotic
F42B,Payment Program: Paying Company Codes,exotic
F42D,Payment Program: Available Amounts,exotic
F42E,Payment Program: Payment Methods in Company Code,exotic
F42I,Payment Program: Account Determination,exotic
F42P,Payment Program: Bank Selection (by Postal Code),exotic
F42S,Payment Program: Charges,exotic
F42V,Payment Program: Value Date,exotic
F42Z,Payment Program: Payment Methods in Country,exotic
F47,Dunning program: Company code data,exotic
F47A,Dunning program: Dunning procedure,exotic
F47F,Dunning program: Sort fields,exotic
F47I,Dunning program: Texts,exotic
F74,Special G/L: Account Determination,exotic
F74U,Special G/L: Indicator,exotic
FARC,TABU entries in TR01 ( Archiving ),exotic
FAV,Worklists,exotic
FAVA,Automatic Worklists,exotic
FBCP,Configurable Components,exotic
FBCT,Logical Transport Object,exotic
FBLC,Local Content,exotic
FBPA,BW: Open ODS View,exotic
FBPD,BW: Open ODS View (SAP Delivery),exotic
FC01,Copy company code: XSKB1,exotic
FC02,Copy company code: XT012,exotic
FC03,Copy company code: XT001S,exotic
FC04,Copy company code: XT001T,exotic
FC07,Copy company code: XT043T,exotic
FC08,Copy company code: XT043G,exotic
FC10,Copy company code: XT079D,exotic
FC11,Copy company code: XT079K,exotic
FC12,Copy company code: XT042,exotic
FC13,Copy company code: XT047,exotic
FC14,Copy company code: XT031,exotic
FC15,Copy company code: XT001R,exotic
FC16,Copy company code: XTBAER,exotic
FC17,Copy company code: XT035,exotic
FC18,Copy company code: XT048I,exotic
FC19,Copy company code: XT001N,exotic
FC30,Copy company code: XT012 + XT042,exotic
FC31,Copy company code: XT012 + XT035,exotic
FC32,Copy company code: XT001T (T056D),exotic
FC40,Copy company code: Without condition,exotic
FC42,Transport company code: Fixed ledgers (T895),exotic
FC43,Copy company code: Special Ledgers (T886B),exotic
FC44,Transport company code: Fixed ledgers (T882),exotic
FC60,Transport chart of accounts: Chart of accounts (T004),exotic
FC61,"Transport Chart of Accounts: Accounts (SKA1,SKM1)",exotic
FC62,"Transport chart of accounts: T030,T030R with restrictions",exotic
FC63,"Transport chart of accounts: Acct. det. (T030x,T045W,T074)",exotic
FC64,Transport Chart of Accounts: Accounts (Texts in Sep.Lang.),exotic
FC65,Transport Chart of Accounts: Accounts (T077S/Z),exotic
FC66,Transport chart of accounts: Posting interface (T033G),exotic
FC67,"Transport chart of accounts:  T030, T030R w/out restrictions",exotic
FC68,Transport Chart of Accounts: Accounts in Company Code (SKB1),exotic
FC69,Transport Chart of Accts: Accounts (Texts in All Languages),exotic
FDT0,FDT/BRFplus: System Application,exotic
FDT1,FDT/BRFplus: Customizing Application,exotic
FDT3,BRFplus ATO Transport (Application),exotic
FDT4,BRFplus CTS Transport (System),exotic
FDT5,BRFplus CTS Transport (Customizing),exotic
FF$6,Check setting,exotic
FILE,File Container,exotic
FKM0,TABLES WITH CHANGED DOCUMENT TYPES,exotic
FO12,Management contract field status transport,exotic
FO6A,Application field status transport,exotic
FOBJ,Scmb front-end objects,exotic
FORM,SAPscript Form,exotic
FS01,Fast Entry: SAPMF05A-RE/GU,exotic
FS02,Fast Entry: SAPMF05A-SAKOP,exotic
FS03,Fast Entry: SAPMF40K-KNTAZ,exotic
FS04,Fast Entry: SAPMF40S-SCHKR,exotic
FS05,Fast Entry: SAPMK23B-CI,exotic
FS06,Fast Entry: SAPMK23B-CL,exotic
FS07,Fast Entry: SAPMK23B-CU,exotic
FS08,Fast Entry: SAPLF040-PRPOS,exotic
FS09,Fast Entry: SAPLFICP-ICPOS,exotic
FS10,Fast Entry: SAPMK23B-CU2,exotic
FS11,Fast Entry: SAPMK23B-CN,exotic
FS12,Fast Entry: SAPMKMA1-COMA1,exotic
FS13,Fast Entry: SAPLFKMT-KMPOS,exotic
FS14,Fast Entry: SAPLFRAD-AVIP,exotic
FS15,Fast Entry: SAPMKAUF-ORC,exotic
FS20,Fast Entry: SAPLKWM3-COBPR,exotic
FS21,Fast Entry: SAPLKMA1-COKST,exotic
FS91,Fast Entry: Business Partner Line Items,exotic
FS92,Fast Entry: General Ledger Line Items,exotic
FS93,Fast Entry: Payment Lot Line Items,exotic
FSIP,Implementation Project (Service Implementation Workbench),exotic
FSL,Posting Keys,exotic
FSLT,Posting Key Texts,exotic
FT01,Document Type/Posting Key - Default Values,exotic
FTCT,Feature Toggle: activation for business configuration,exotic
FTG2,Feature Toggle,exotic
FTGL,Feature toggle,exotic
FTIN,Feature Toggle - PFDB Innovation Data,exotic
FTRL,FINB Transport-Tool: Client Copy - Bill of Material,exotic
FTXP,Tax Code,exotic
FUNC,Function Module,major
FUGR,Function Group,major
FUGS,Function Group with Customer Include: SAP Part,exotic
FUGX,Function Group with Customer Include: Customer Part,exotic
FVAC,DMC: Migration Settings of a Fixed Value,exotic
FVAL,DMC: Definition and Standard Variant of a Fixed Value,exotic
FXER,Relevant Text IDs,exotic
FXID,Text IDs,exotic
G4BA,SAP Gateway OData V4 Backend Service Group & Assignments,exotic
G4BG,OBSOLETE - replaced by G4BA,exotic
G4BS,SAP Gateway OData V4 Backend Service,exotic
GADO,Generic Audit Filter - Registered Data Objects,exotic
GAFI,Generic Audit Filter - Audit Filter Set,exotic
GALF,Generic Audit Filter - Logical Field,exotic
GAPR,Generic Audit Filter - Mapp Report SelScreen to Data Object,exotic
GCCV,Cross-Client Validation Check,exotic
GCLP,Registry Entry of a Code in Generic Codelist Provider,exotic
GCPM,SAP Gateway OData Client Proxy - Proxy Model,exotic
GEVT,Events table in Gemini,exotic
GFSQ,Generic Fast Search Query,exotic
GFSV,Generic Fast Search View,exotic
GILE,GenIL Component Enhancement,exotic
GLE0,ECS Derivation Strategy,exotic
GLE1,ECS Derivation Strategy (Steps),exotic
GLOS,Transport of Glossary Tables,exotic
GPVD,Variants for locally gen.proga. with client-spec.meta object,exotic
GPVI,Variants for locally gen.prog.with client-indep.meta object,exotic
GSMP,Generic Simple Metric Provider,exotic
GURL,Predefined URL,exotic
HAAP,HANA Analysis Process,exotic
HCFQ,Help Center: FAQs,exotic
HCLN,Help Center: Documents,exotic
HCNS,Help Center: Namespace,exotic
HCPR,SAP HANA Composite Provider,exotic
HDSA,Derivation Tree (HDS) / Application Data,exotic
HDSI,Derivation Tree (HDS) / System Customizing,exotic
HDST,Derivation Tree (HDS),exotic
HEUR,Heuristics,exotic
HIER,BW Hierarchies,exotic
HLPF,Link DS/screen field,exotic
HOTA,Full Package (SAP HANA Transport for ABAP),exotic
HRFC,HR Forms: Form Class,exotic
HRFD,HR Forms: Relations LDB Fields-MetaFields,exotic
HRFO,HR Forms,exotic
HRMD,HR Forms: MetaDimension,exotic
HRMF,HR Forms: MetaFigure,exotic
HRMN,HR Forms: MetaNet,exotic
HRMO,HR Forms: Country-Specific MetaStars for Int. MetaNet,exotic
HRMS,HR Forms: MetaStar,exotic
HRMT,HR Forms: Country-Specific MetaDims for Int. MetaStar,exotic
HRNR,Organizational Management and Workflow: Prefix Numbers,exotic
HRPM,HR Process Model,exotic
HTST,HTTP State,exotic
HTTP,HTTP Service,exotic
HYBR,HybridProvider,exotic
IAJU,IAC - JavaScript Objects (Non-Language-Specific),exotic
IAKC,Table for Converting IAC Object Names,exotic
IAM0,IAM: Insurance Activity Management,exotic
IAMA,MiniApps,exotic
IAML,Language-Dependent IAC Binary Data,exotic
IAMU,Language-Independent IAC Binary Data,exotic
IAMX,MiniApp,exotic
IAPD,Project Data for Implementation Assistant Nodes,exotic
IARP,Parameters of IAC Language Resource,exotic
IASP,Parameters of an IAC service,exotic
IATH,Implementation Assistant: Nodes,exotic
IATL,Language-Dependent IAC Templates,exotic
IATU,Language-Independent IAC Templates,exotic
IAXU,ITS: XML Templates for HTML Templates,exotic
ICFA,Administrative ICF services,exotic
IDCV,View of logical message for IDoc type,exotic
IDOC,IDoc Type,exotic
IEXT,Enhancement,exotic
IFFI,Interface Definition,exotic
IFFM,Interface Mapping,exotic
IFMC,Incoming File Mapping (Customer),exotic
IFME,Incoming File Mapping,exotic
ILM1,"OBSOLETE, NOT TO BE USED",exotic
ILM2,"OBSOLETE, NOT TO BE USED",exotic
ILMB,ILM Object,exotic
ILMP,ILM Object (Paper Documents),exotic
ILOT,Logic. Transport Object for Object Types for Object Relships,exotic
ILTP,Logical Transport Object for Relationship Types,exotic
IMP0,IMP: Insurance Mass Procesing,exotic
INA1,InA Service,exotic
INSP,IQM Inspection Plan (BI),exotic
INTF,Interface (ABAP Objects),major
INTM,Intelligent Scenario Model,exotic
INTS,Intelligent Scenario,exotic
IOBC,InfoObject catalog,exotic
IOBJ,InfoObject,exotic
IOBV,BI InfoObject Texts for Text Verticalization,exotic
ISCP,Call Package,exotic
ISCS,Communication structure,exotic
ISET,InfoSet in BW,exotic
ISFS,DataSource Replica,exotic
ISIG,InfoPackage group,exotic
ISIP,InfoPackage,exotic
ISMD,InfoSource master data,exotic
ISMP,Transfer Rules,exotic
ISMT,Transfer InfoSource master data,exotic
ISRC,Insurance: Search Application,exotic
ISRV,Intelligent Services,exotic
ISTD,InfoSource transaction data,exotic
ISTS,Transfer structure,exotic
ISTT,Transfer InfoSource transaction data,exotic
ISVC,Services: Assignment to Classes,exotic
ITEM,Transport Object for BW Web Items,exotic
IWCL,Logical information object,exotic
IWCP,Physical Information Object,exotic
IWCS,Structure storage system,exotic
IWMO,SAP Gateway Business Suite Enablement - Model,exotic
IWNG,Notification Gateway - Notification Provider Registration,exotic
IWOM,SAP Gateway: Model Metadata,exotic
IWPR,SAP Gateway BSE - Service Builder Project,exotic
IWSC,SAP Gateway:Screen scraping,exotic
IWSG,SAP Gateway: Service Groups Metadata,exotic
IWSV,SAP Gateway Business Suite Enablement - Service,exotic
IWVB,SAP Gateway Business Suite Enablement -Vocabulary Annotation,exotic
IWVO,SAP Gateway Business Suite Enablement - Vocabulary,exotic
JOBD,Technical Job Definition,exotic
JRNL,BPC: Journal,exotic
K33E,FI-CA Account Determ.: Key Selection,exotic
K33F,FI-CA Account Determination,exotic
K33V,FI-CA Account Determination (Views),exotic
K34E,FI-CA Acct Determination: Key Selection (Current Setting),exotic
K34F,FI-CA Account Determination (Current Setting),exotic
K34V,FI-CA Account Determination - Views (Current Setting),exotic
KCDM,SAP-EIS: Sender programs and environment,exotic
KCHI,SAP EIS: Hierarchies,exotic
KCKF,SAP-EIS: Key figures - formula levels,exotic
KCKK,SAP-EIS: Key figures - aspect assignment,exotic
KCKR,SAP-EIS: Key figures,exotic
KCKT,SAP-EIS: Key figure - table assignment,exotic
KEFI,"CO-PA: logical object for characteristics, value fields",exotic
KEHR,CO-PA General Structure Repository,exotic
KEOP,Logical object for an operating concern,exotic
KEPF,Planning Profile,exotic
KEPV,Planning Level,exotic
KES1,Transport form/Report Painter,exotic
KOM1,Controlling: Model order,exotic
KOM2,Controlling: Model order - dependent data,exotic
KPCE,BI: KPI Catalog Folder,exotic
KPDF,BI: KPI Definition,exotic
KPPL,KPP: Logical Information Object,exotic
KPPP,KPP: Physical Information Object,exotic
KPPR,KPP: Relationship Between Information Objects,exotic
KWPL,KWPW: Logical Information Object,exotic
KWPP,KWPW: Physical Information Object (Help),exotic
KWPW,KWPW: Structure Storage,exotic
LAYO,TM: Page Layout of Transportation Management,exotic
LDBA,Logical Database,exotic
LDPL,Process Sheet: Logical Information Object,exotic
LDPP,Process Sheet: Physical Information Object,exotic
LDPS,Process Sheet: Physical Info Object (Delivery),exotic
LFCC,TM: Field Catalog of Page Layouts - C-tables,exotic
LFCS,TM: Field Catalog of Page Layouts - S-tables,exotic
LGNR,MM-WM: Warehouse number,exotic
LOBJ,Object relevant for translation,exotic
LODC,HRDSYS: Logical information object client-dep. table C,exotic
LODE,HRDSYS: Logical information object client-dep. table E,exotic
LODS,HRDSYS: Logical information object client-dep. table E SYST,exotic
LOIE,HRDSYS: Logical information object client-indep. table E,exotic
LOIO,Solution Manager Document: Logical Info Object,exotic
LPDC,Launchpad short texts,exotic
LPDS,Launchpad Short Texts,exotic
LPDT,Launchpad Short Texts,exotic
LPOA,Semantically partitioned object: Active version,exotic
LPOD,Semantically partitioned object: Content version,exotic
LRCC,LRepository cross-client content,exotic
LRCD,LRepository client-dependent content,exotic
LRST,LRepository client-dependent content - customizing requests,exotic
LTHR,ALV: HTML Templates (Raw Version),exotic
LTHT,ALV: HTML Templates (Translated Templates),exotic
LTRC,Landscape Transformation Repository: Object Version,exotic
LTRD,Landscape Transformation Repository: Object Header,exotic
LTXP,Language Transport: Exit Handling,exotic
M457,Profile for Master Production Scheduling Evaluations,exotic
MAPN,Solution Map: Node definition,exotic
MBCA,Measure Catalog (Active Version),exotic
MBCD,Measure Catalog (SAP Delivery Version),exotic
MBHA,Measure Hierarchy (Active Version),exotic
MBHD,Measure Hierarchy (SAP Delivery Version),exotic
MBMA,Measures (Active Version),exotic
MBMD,Measures (SAP Delivery Version),exotic
MBNA,Measure Nodes (Active Version),exotic
MBND,Measure Nodes (SAP Delivery Version),exotic
MBRA,Measure Reference,exotic
MC01,Migration Cockpit Project,exotic
MC02,Migration Cockpit: Staging,exotic
MCDT,Migration Cockpit Project - Direct Transfer,exotic
MCEV,LIS Event,exotic
MCID,Matchcode ID,exotic
MCIN,Info Structure: Lockable Object,exotic
MCOB,Matchcode Object,exotic
MCPT,"LIS: planning type, macro",exotic
MCUA,Update Setting of an Info Structure,exotic
MCUN,LIS Units,exotic
MD25,Planning Calendar,exotic
MDAS,Definition of eCATTs for Handling of non transp. objects,exotic
MDGT,Transport Tool: Client Copy - Piece List,exotic
MESD,Mobile Solution Descriptor,exotic
MGCF,Device Configuration - Configuration Template,exotic
MODL,BPC: Model,exotic
MPRO,MultiProvider,exotic
MSAG,Message Class,exotic
MSPI,Representative List of Rents,exotic
MTXT,Manual Activities in the Correction Instructions,exotic
MWBU,MWB: Data for Integrated Upgrade,exotic
NHDU,HANA Transport Container,exotic
NHLC,HANA Language Container,exotic
NONT,RESTful ABAP Programming Model: Object Node Type,exotic
NOTE,SAP Note,exotic
NRIV,Number Range Object,exotic
NROB,Number Range Object,exotic
NSPC,Namespace in R/3 Repository,exotic
NTTA,Note Type Assignments for RAP,exotic
NTTY,Note Types for RAP,exotic
OA2G,OAuth 2.0 Scopeset,exotic
OA2P,OAuth 2.0 Client Profile,exotic
OA2S,OAuth2 Scope,exotic
OBJA,SOBJ: API called by an after import method,exotic
OBJM,SOBJ: Meta data of an AIM of a transport object,exotic
OCAO,Output Control Application Object Type,exotic
OCSV,,exotic
ODPE,Operational Data Provider (ESH-Based),exotic
ODPN,ODP,exotic
ODSO,DataStore Object,exotic
OFAM,Logical Transport Object for Object Families,exotic
OIIS,Storage object characteristics - type ref.data (IS Oil BDRP),exotic
OIIT,Storage object characteristics - type (IS Oil BDRP),exotic
OIIV,Operations Time Window Set (OTWS) - ref set ID,exotic
OIIW,Operations Time Window Set (OTWS) - reference set,exotic
OMLM,Output Management: T100 Longtext Link Mapping,exotic
OSOA,DataSource (Active Version),exotic
OSOD,DataSource (Delivered Version),exotic
OTGR,Object type group,exotic
OVFC,Online Validation Framework Check Definition,exotic
PA01,SD: Partner customizing - partner determination procedure,exotic
PA02,SD: Partner Customizing - Partner Roles,exotic
PA03,SD: Partner customizing - partner roles,exotic
PAI1,Predictive Analytics Integrator : Predictive Scenario,exotic
PAIM,Predictive Analytics Integrator : Predictive Model,exotic
PAPL,Personas: SAPUI5 Applets Allowlist,exotic
PARA,SPA/GPA Parameters,exotic
PCEX,Exceptions for Package Check,exotic
PCFF,Predefined Custom Field,exotic
PCFN,Predefined Field: Extensible Node,exotic
PCHK,Setting Parameters for Package Check,exotic
PCI1,"Interface toolbox: Transport object, interface format",exotic
PCI2,Interface toolbox: Transport object for file layout,exotic
PCLA,Program Class for BW Generation Tools,exotic
PCOL,Personas: Colors,exotic
PCYC,HR: Transport customer PC rules,exotic
PCYS,HR: Transport standard personnel calculation rules,exotic
PDAC,Standard rule,exotic
PDTG,Task Group,exotic
PDTS,Standard Task,exotic
PDWA,Workflow Pattern with All Versions,exotic
PDWS,Workflow template,exotic
PE00,Posting Engine Used TRules,exotic
PE01,Migration Project - Direct Transfer,exotic
PE02,Migration Object - Direct Transfer,exotic
PE12,Migration Interface - Direct Transfer,exotic
PE14,Migration Interface Mapping - Direct Transfer,exotic
PERS,Personalization object,exotic
PFCC,Transport User-Defined Functions in Payroll,exotic
PFCS,Transport SAP Standard Function in Payroll,exotic
PFLV,Personas: Flavor,exotic
PFNR,Personas: Flavor Naming Rules,exotic
PFON,Personas: Fonts,exotic
PFRM,Form for payroll remuneration statement,exotic
PFRS,Personas: Flavor Role sharing,exotic
PFTC,Transport user-defined function in time management,exotic
PFTS,Transport SAP standard function in time management,exotic
PFUS,Personas: User Sharing,exotic
PGSC,Personas: Global script,exotic
PHDC,HRDSYS: physical information object client-dep. table C,exotic
PHDE,HRDSYS: physical information object client-dep. table E,exotic
PHDS,HRDSYS: physical information object client-dep. table E SYST,exotic
PHIE,HRDSYS: physical information object client-indep. table E,exotic
PHIO,Solution Manager Document: Physical Info Object,exotic
PICN,Personas: Icon,exotic
PIMC,Personas: Import Clients,exotic
PINF,Package interface,exotic
PLCR,Characteristic Relationship Object for Planning,exotic
PLDS,Planning Data Slices,exotic
PLGN,Plugin,exotic
PLGX,cCTS Service Plug-Ins,exotic
PLSE,Planning Service,exotic
PLSQ,Planning Sequence,exotic
PLST,Planning Service Type,exotic
PMKC,HR: Transport customer features,exotic
PMKS,HR: Transport of standard features,exotic
POCC,Transport User-Defined Operation in Payroll,exotic
POCS,Transport SAP standard operation in payroll,exotic
PORG,Organizational Dependency Types (Product Master),exotic
POTC,Transport user-defined operation in time management,exotic
POTS,Transport SAP standard operation in time management,exotic
POVC,Personas: Control Overwrite Entries,exotic
POVS,Personas: Screen Overwrite Entries,exotic
PQST,Personas: Quick Styles,exotic
PRAG,Pragma in ABAP Source Code,exotic
PRAP,Logical Transport Object for Applications in Product Master,exotic
PRAW,Personas: RAW data (resource or icon),exotic
PREO,Personas: Resource,exotic
PRFC,Personas: Allowed Remote Function Call Modules,exotic
PRIN,Printer Description,exotic
PROG,Program,major
PROJ,DMC: Definition of a Project,exotic
PROL,Personas: Role,exotic
PROX,Proxy for Interface from IFR,exotic
PRTA,Personas: Role-/Theme-Assignment,exotic
PRWZ,Wizard Definition,exotic
PSCC,HR: Transport customer schemas,exotic
PSCS,HR: Transport standard schemas,exotic
PSHL,Personas: Allowed Search Helps,exotic
PSRO,Project Status Report (Element and Sample),exotic
PSTG,Personas: Settings,exotic
PT01,Migration Project Template - Direct Transfer,exotic
PT02,Migration Object Template - Direct Transfer,exotic
PTHE,Personas: Theme,exotic
PTML,Personas: Template,exotic
PTMP,Personas: Transaction Mappings,exotic
PTYP,Logical Transport Object for Product Types,exotic
PURL,Personas: Allowed URLs,exotic
PURP,Purpose,exotic
PVPA,HR-CH: PC Parameters,exotic
PVSP,HR-CH: Processing schedule,exotic
PYAC,Payroll Control Center - Analytical Chart Configuration,exotic
PYAD,Payroll Control Center - Analytics Designer Type,exotic
PYAN,Payroll Control Center - Analytics Configuration,exotic
PYDI,"Generated Inst(for Step, Validation Rule, Analytics Chart)",exotic
PYKT,Payroll Control Center - KPI Type Configuration,exotic
PYPL,Payroll Control Center Configuration Workbench Policy,exotic
PYPR,Payroll Control Center - Process Configuration,exotic
PYPT,Payroll Control Center - Process Template,exotic
PYSL,Payroll Control Center - Solution Configuration,exotic
PYST,Payroll Control Center - Step Template Configuration,exotic
PYTA,Payroll Control Center - Tasklist Analytics,exotic
PYTD,Payroll Control Center - Tasklist Analytics Designer,exotic
PYTK,Payroll Control Center - Tasklist KPI,exotic
PYTP,Payroll Control Center - Policy Type Configuration,exotic
PYTR,Payroll Control Center - Process Type Configuration,exotic
PYTV,Payroll Control Center - Tasklist Validation Rule,exotic
PYVR,Payroll Control Center - Validation Rule Configuration,exotic
PYVT,Payroll Control Center - Validation Rule Type Configuration,exotic
QMML,KW: Logical Information Object (QM_MANUAL),exotic
QMMP,Logical Transport Object,exotic
QMMS,KW: Structure repository for QMMANUAL,exotic
QVIW,Transport Object for BW Query View,exotic
RABR,Read Access Logging: Recording,exotic
RADB,Read Access Logging: Dynpro,exotic
RADY,Read Access Logging: Dynpro (old),exotic
RAGB,Read Access Logging: Generic Channel,exotic
RAGC,Read Access Logging: Generic Channel (old),exotic
RAPA,Planning package for the Report Agent,exotic
RARB,Read Access Logging: Remote Function Call,exotic
RARF,Read Access Logging: Remote Function Call (old),exotic
RASB,Read Access Logging: Web-Service,exotic
RASE,Settings for the Report Agent (BW),exotic
RAWB,Read Access Logging: Web Dynpro,exotic
RAWD,Read Access Logging: Web Dynpro (old),exotic
RAWS,Read Access Logging: Web-Service (old),exotic
RCAL,DMC: Rule Calls,exotic
RD01,Route Definition: Routes,exotic
RD02,Route Definition: Legs,exotic
RD03,Route Definition: Nodes,exotic
RD04,Route Definition: Modes of Transport,exotic
RD05,Route Definition: Shipping Type,exotic
RDOM,Read Access Logging: Log Domain,exotic
RECW,Recording Object for Web Dynpro Applications,exotic
REP0,Reports,exotic
REP1,Report Evaluations,exotic
REP2,Reports,exotic
REP3,Report Evaluations,exotic
REVN,Nodes for SAP Review Program,exotic
RF01,Route Determination: Actual Routes for Delivery,exotic
RF02,Route Determination: In Sales Documents/Deliveries,exotic
RF03,Route Determination: Shipping Points/Shipping p. for Routes,exotic
RF04,Route Determination: Weight Groups for Deliveries,exotic
RF05,Route Determination: Transportation Zones,exotic
RF06,Route Determination: Transportation groups,exotic
RF07,Route Determination: Shipping Conditions,exotic
RF08,Route Determination: Weights per Weight Group,exotic
RFCT,Transport RFC Destination,exotic
RFST,RFC State,exotic
RGRP,Role Group,exotic
RLBL,Reuse Library: Libraries,exotic
RLBP,Reuse Library: Products,exotic
RLBT,Reuse Library: Transport Object for Structure Repository,exotic
RMCE,Responsibility Management Context Extension,exotic
RMCT,Responsibility Management Context,exotic
RMRC,Responsibility Management : Reuse Object: Customizing,exotic
RMRL,Responsibility Management Rule,exotic
RMRW,Responsibility Management : Reuse Object for Workbench,exotic
RMTC,Responsibility Management Team Category,exotic
RONT,RESTful ABAP Programming Model: Object (Node) Type,exotic
ROUT,Routine,exotic
RPDF,Report definition for the classification tool-set,exotic
RPUR,Read Access Logging: Purpose,exotic
RRCA,BW: RRI InfoCube Recipient,exotic
RRCD,BW: RRI InfoCube Recipient (SAP Outbound Delivery),exotic
RRQA,BW: RRI Query Recipient,exotic
RRQD,BW: RRI Query Recipient (SAP Outbound Delivery),exotic
RRUL,Remodeling Rule,exotic
RSDC,Display Component Tree,exotic
RSDS,DataSource in BW,exotic
RSFO,BW Formula,exotic
RSPC,Process chain,exotic
RSPE,BEx Personalization Application,exotic
RSPI,Interrupt Process,exotic
RSPT,Process Chain Starter,exotic
RSPV,Process variants,exotic
RSRV,Package for RSRV Tests,exotic
RTCA,Real-Time Consolidation Model Objects,exotic
RTCM,Real-time Consolidation Model,exotic
RULC,DMC: Migration Settings of a Rule,exotic
RULE,DMC: Definition and Implementation of a Rule,exotic
RVBA,Review Booklet Application,exotic
RVBC,Review Booklet Configuration,exotic
SAAC,Component Use in the System Administration Assistant,exotic
SAAT,Customizing Settings for System Administration Assistant,exotic
SACT,Standalone SAP Analytics Cloud Applications,exotic
SADT,ABAP Development Tools REST Service Group,exotic
SAID,Language-Independent Doc. for mySAP.com Application Server,exotic
SAIM,Audit Info System - Check Sets for Automatic Monitoring,exotic
SAIS,Data Object in Audit Info System,exotic
SAJC,Application Job Catalog Entry,exotic
SAJT,Application Job Template,exotic
SAJX,Application Job Template - App,exotic
SAJY,Application Job Catalog - App,exotic
SALC,Application Log Catalog Entry,exotic
SALO,Logical Info Object in SAP Solution Architect,exotic
SALV,ALV ATO Transport for Standard Layouts,exotic
SAMC,ABAP Messaging Channel Application,exotic
SAMD,S&AM Design Time Metadata,exotic
SAMS,SAM Metadata,exotic
SAMT,Message Types for ABAP Messaging Channels,exotic
SAPC,ABAP Push Channel Application,exotic
SAPH,Physical Info Object in SAP Solution Architect,exotic
SAPL,Storage Plan: SAP Records,exotic
SARC,Entries in the tables of the archiving tool (TRK00 etc.),exotic
SASD,Document for mySAP.com Application Server,exotic
SAUA,ABAP Unit Method Attributes,exotic
SBC1,Techical Object Group,exotic
SBCL,Semantic Business Configuration Lock Definition,exotic
SBCT,Semantic Business Configuration Lock Token,exotic
SBDL,Logical information object for BDS,exotic
SBDP,Physical information object,exotic
SBDR,BDS: Relationship between information objects,exotic
SBEL,BW: LOIO Class Metadata,exotic
SBEP,BW: PHIO Class Metadata,exotic
SBGL,BW: LOIO Class Transaction Data,exotic
SBGP,BW: PHIO Class Transaction Data,exotic
SBHL,Logical Information Object for BDS,exotic
SBHP,Logical Information Object for BDS,exotic
SBHR,BDS: Relationship Between Information Objects,exotic
SBIL,Logical Information Object for BDS,exotic
SBIP,Physical Information Object,exotic
SBIR,Relationship between Information Objects,exotic
SBJL,Logical Information Object for BDS,exotic
SBJP,Logical Information Object for BDS,exotic
SBJR,BDS: Relationship Between Information Objects,exotic
SBKL,Logical Information Object for BDS,exotic
SBKP,Logical Information Object for BDS,exotic
SBKR,BDS: Relationship Between Information Objects,exotic
SBLE,Customer Extension of Business Logic with restricted ABAP,exotic
SBNL,Logical Information Object for BDS,exotic
SBNP,Logical Information Object for BDS,exotic
SBNR,BDS: Relationship Between Information Objects,exotic
SBOL,Logical information object for BDS,exotic
SBOP,Physical information object,exotic
SBOR,BDS: Relationship between information objects,exotic
SBRL,Logical Information Object for BDS,exotic
SBRP,Physical Information Object,exotic
SBRR,BDS: Relationship Between Information Objects,exotic
SBSL,Logical Information Object for BDS,exotic
SBSP,Physical Information Object,exotic
